Account,Token Account,Quantity,Percentage
3LzmBquLMap6ak2ofyeDbH99VhJ84k336RJzkLBwq3b1,2nuMycPBn4YGdwWoxbrsXRpCYc8YMSd3NkUTvKN37Yev,262447.70,0.03
4cVNxBjaabP6YSvcwTzWDqK6seNYpGQyRVjErsZaMePS,3uFqi6yX2Dby5GWu3mVPeARvQAQZoTPCegFuzhXMJTfh,252239.96,0.03
CMRKwwTGpN9qhBu7xkBGfTMbpWZQsCtgoASVFURPgHhm,13Jj6ejd6BfF22T1CKk6dywfU5542U7JF9mAqnLFC3dz,252239.96,0.03
J88iiSwqYUGvH1kF3jpBdCqwcE5pMAndvKPnpU7KUMbW,9mPLsXdXp39tk4qrNK4Wb3YwnwoKN6ijbad6rSjSWoTV,237795.01,0.02
5ppPbKMbs4Z5xnyZSXTNbkzveCPmAZohWSMwjP3ma6X5,87pW4VgdYLyJyjQ5omimPCFSWk88roDtYuFbPatn9Wb4,215999.98,0.02
BjMq5Bw2SyFbGDYgCMSsMGQqGbJ3Yt5NrBphgknubz3q,D1chxBsARAkTbWquNJgcbvZqBTZqh9LR6e3KzugaekS3,203229.52,0.02
6gVV6PiRfAmCWBocCAASyvhFjihBakxjybFEjRbSoKvr,FqT6QdCnSUJfu19H6bceuSuoFagpcQaLs4kYf7VEcZLF,202618.43,0.02
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,9xaa7VAuDzTKvJrosgRm2eYShURmY17i1Nxhfn2YFxHR,201161.89,0.02
FqdKeDySTDXdrLZojEhUd5ZLKJALMghP3ec134NG7xG,Fpyu3umm6MCCJ9kM9Ddv2gkN6zJEHdsymtowinKJJyee,200027.81,0.02
4gXs8oc2yEwDTPkDyo6V8ZixheTCZvu8JicrEuDat8tH,qVT2LiSDGeXUtcMzEpwk1xUF5m6gS3JAoCCFoAUFPPv,183246.02,0.02
3Ln6KEgLoMR2xFHfqtYazP7CxFQPDtUVVtwCVsLKVfmV,FUGDBXojkbVzD5Dpk7ktY62oRuePvUTNBtBaWGw9LdJ9,183011.02,0.02
Fn3RWmjawHPEH6ajf4odQCFv49dHMRY6byJGfHv4jPqj,Hp36WtsUJybzeEEMRzJ8hTEiUoNkTHRSptLUcXjQw4go,180592.00,0.02
